,0,1
644,1.0,0.0
645,1.0,0.0
646,0.98,0.02
647,0.95,0.05
648,1.0,0.0
649,1.0,0.0
650,0.0,1.0
651,1.0,0.0
652,1.0,0.0
653,0.99,0.01
654,1.0,0.0
655,1.0,0.0
656,0.99,0.01
657,1.0,0.0
658,1.0,0.0
659,0.87,0.13
660,1.0,0.0
661,1.0,0.0
662,1.0,0.0
663,1.0,0.0
664,1.0,0.0
665,1.0,0.0
666,0.72,0.28
667,0.92,0.08
668,0.99,0.01
669,0.0,1.0
670,0.97,0.03
671,1.0,0.0
672,1.0,0.0
673,0.99,0.01
674,0.0,1.0
675,1.0,0.0
676,1.0,0.0
677,0.73,0.27
678,1.0,0.0
679,0.76,0.24
680,1.0,0.0
681,1.0,0.0
682,1.0,0.0
683,0.95,0.05
684,0.99,0.01
685,1.0,0.0
686,0.0,1.0
687,0.99,0.01
688,1.0,0.0
689,0.98,0.02
690,0.0,1.0
691,1.0,0.0
692,1.0,0.0
693,1.0,0.0
694,0.0,1.0
695,1.0,0.0
696,1.0,0.0
697,1.0,0.0
698,1.0,0.0
699,1.0,0.0
700,1.0,0.0
701,1.0,0.0
702,0.98,0.02
703,1.0,0.0
704,1.0,0.0
705,1.0,0.0
706,1.0,0.0
707,0.89,0.11
708,0.97,0.03
709,1.0,0.0
710,1.0,0.0
711,1.0,0.0
712,1.0,0.0
713,1.0,0.0
714,1.0,0.0
715,0.97,0.03
716,1.0,0.0
717,0.99,0.01
718,1.0,0.0
719,1.0,0.0
720,1.0,0.0
721,1.0,0.0
722,1.0,0.0
723,1.0,0.0
724,1.0,0.0
725,0.89,0.11
726,0.99,0.01
727,0.99,0.01
728,1.0,0.0
729,1.0,0.0
730,0.93,0.07
731,1.0,0.0
732,0.99,0.01
733,0.99,0.01
734,0.99,0.01
735,1.0,0.0
736,1.0,0.0
737,1.0,0.0
738,1.0,0.0
739,1.0,0.0
740,0.0,1.0
741,1.0,0.0
742,0.98,0.02
743,1.0,0.0
744,1.0,0.0
745,1.0,0.0
746,0.0,1.0
747,0.0,1.0
748,1.0,0.0
749,1.0,0.0
750,1.0,0.0
751,1.0,0.0
752,1.0,0.0
753,1.0,0.0
754,1.0,0.0
755,1.0,0.0
756,1.0,0.0
757,0.93,0.07
758,0.99,0.01
759,1.0,0.0
760,0.99,0.01
761,1.0,0.0
762,1.0,0.0
763,0.77,0.23
764,1.0,0.0
765,1.0,0.0
766,1.0,0.0
767,1.0,0.0
768,1.0,0.0
769,0.0,1.0
770,1.0,0.0
771,1.0,0.0
772,1.0,0.0
773,0.99,0.01
774,1.0,0.0
775,1.0,0.0
776,1.0,0.0
777,1.0,0.0
778,0.95,0.05
779,0.98,0.02
780,1.0,0.0
781,0.0,1.0
782,1.0,0.0
783,1.0,0.0
784,0.98,0.02
785,0.99,0.01
786,1.0,0.0
787,1.0,0.0
788,1.0,0.0
789,1.0,0.0
790,1.0,0.0
791,0.95,0.05
792,1.0,0.0
793,1.0,0.0
794,1.0,0.0
795,1.0,0.0
796,0.99,0.01
797,1.0,0.0
798,1.0,0.0
799,1.0,0.0
800,0.97,0.03
801,1.0,0.0
802,1.0,0.0
803,1.0,0.0
804,1.0,0.0
805,1.0,0.0
806,1.0,0.0
807,0.99,0.01
808,1.0,0.0
809,0.0,1.0
810,0.0,1.0
811,1.0,0.0
812,0.97,0.03
813,1.0,0.0
814,0.99,0.01
815,1.0,0.0
816,1.0,0.0
817,1.0,0.0
818,1.0,0.0
